(Do Not Modify) Opportunity,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account,Topic,Estimated signature date,Current BPF Status,Owner,Annual Margin,Total Service Amount,Primary Pillar,Are we shortlisted?,License SaaS ARR,Current BPF Advance Date,Pillar Must Win
73fbc296-f7cd-414a-bf0f-c60f6551553e,SB3LbiMJQQsZyEABdrknZjHAr0PbbAIKAzDrWZReRvgie8DiAn7QnJGkHFrMQa0rhMqKI9zlBNSNPwJIAiQEsA==,20/1/2026 5:31,Nick Scali Furniture (F5AU),NetSuite POC and Integration documentation​,23/1/2026,Solutioning,Justin Petrovic,0.00,85324.00,NetSuite,,0.00,19/1/2026 15:47,No
2f4c18c7-7e10-4e01-b8e5-0119045572a5,Wt+d25iWeH3sEHbuUrf0VkMVh8r7td+f1mmUXISTEdYyBJmw4tXysipfNuW6PtoGB3PRvzia/33MHig2kcFEjA==,23/1/2026 4:40,iQuip,iQuip: Advanced Pricing Module,29/1/2026,Contracting,Karen Linehan,3000.00,0.00,NetSuite,,3000.00,23/1/2026 13:10,No
f7429932-cbe6-48a9-8320-2b0ba7a1ccee,ZH5n+gP2LCbTKHIsJ5SpMLRpcr1/sQl6IQfv9kyp6NEH6sK5dvGNXIrww5XR4SdCEnSx4bdKKW2mkqFnwImO6A==,21/1/2026 4:01,Allfasteners (F5AU),Allfastners: PartnerPlus,30/1/2026,Contracting,Karen Linehan,0.00,64080.00,NetSuite,,0.00,12/1/2026 13:33,
aaac3fd1-5e03-4fa9-96c1-694c7cf3edf0,ZkaqOcmQO1kXhaGqyHgv4bNeGgVtp7PaO+YwSPZnpvK3HJOqtnC5EMP1zBiewmgmpDo/LO3oVAXzctlHPy6lkA==,20/1/2026 4:09,Infranexus,Infranexus: PartnerPlus,30/1/2026,Contracting,Karen Linehan,0.00,36000.00,NetSuite,,0.00,16/1/2026 7:51,
73055a3c-95df-41d7-81e8-c1fe6298adbf,ivKxPkLTPbIoVTH49oY57C7WS44yh7F/E8PKkE9kdZc6H+/eOW+Q8qMIzGQ+Kt85h4/Q7A/Qp3svvJp+bTlmOw==,19/1/2026 2:31,Tibaldi (Aust),Tibaldi: WO - 48468 Tibaldi - Fusion5 Staff Augmentation,30/1/2026,Contracting,Karen Linehan,0.00,17120.00,NetSuite,,0.00,16/1/2026 8:31,No
e2ad1c81-0422-ef11-840a-002248985243,tN7yo9JRFtKQ2rq3yW8AB5o/aIuvfnW46rjzvoY+9JFRcCQczneAyXEsg/twZSPtyvyU0FMkL86UKNj7ytbOtA==,19/1/2026 2:41,Infravision (F5AU),Infravision   NetSuite ,31/1/2026,Solutioning,Steve Paea,25500.00,170000.00,NetSuite,Yes,51000.00,5/11/2025 15:58,
a454719f-51af-4517-a090-0736a650b067,XXzlnD7jR1abaRc/O01dnpwl3lvDbbtkpgUwWv5Qgtq7t5J2/2FHryMUWdmODOwM87k5pX2f8lzkQlBKZ/0+aw==,21/1/2026 2:00,Danthonia Designs,x5 GAU,31/1/2026,Contracting,Justin Petrovic,1890.55,0.00,NetSuite,,3781.10,14/1/2026 12:16,No
f5b34350-77bf-4729-9ec4-72b8de100796,xdvkDJ8jtK0BU6J7I6Om36TE1V7qynEP99zW0hKBDs/Y4brhVsUPDkn6kwr+AklfOvR2DIJbHmNCMkKdI21SHQ==,18/1/2026 22:10,Hammons Holdings,Acquisition Licensing Upsell,31/1/2026,Solutioning,Justin Petrovic,10800.00,70000.00,NetSuite,,21600.00,4/9/2025 10:44,
33841ecc-6e0f-48ce-805f-bf6b4f7bf572,pi0ijwdvNIkzfK+ES7XGR0VxA7ot2sVGnO8H2fx1o9x3GpJQH7z/5fgWeXbuUwDrpfXhpTNHdNlOIgAE4TbfGA==,7/12/2025 22:21,S&A Stairs (F5AU),LastPass Business Max Upgrade,31/1/2026,Contracting,Justin Petrovic,2274.00,0.00,NetSuite,,13700.00,23/11/2025 19:57,No
b29b78fb-c026-4cb2-a64d-fa76d79e4f77,A3/jUc4fzhstnCmDuP0t21XA5dXseXAI39d/pmabh6ZWOqhn8QevyXZFDndlL6F1WguFJki9vN4MEZ3dVMteAQ==,21/1/2026 22:28,NRMA,CR1 Finance Transformation Budget,31/1/2026,Contracting,Justin Petrovic,0.00,30080.00,NetSuite,,0.00,19/1/2026 8:33,No
54a2566a-0bb6-4fc6-83ad-fb6be0541c51,fInM3PgUURObtgg3rnQJ5pACGuh0w8vXFP7cCcrbpyfELjsifY83SPVycTNr+I6TG8dVS9ZgdaYKeJTEgfHsig==,21/1/2026 5:53,Denison Gas,AI Envisioning Workshop,31/1/2026,Contracting,Justin Petrovic,0.00,4480.00,i2,,0.00,7/11/2025 14:25,
651dacd8-5b75-42b9-a943-b6605a0f799e,4cl6h0H1Jfpe6Sk8AhY6/9TGIgXxTa9k1sat9p2ugDSM32N9+GIQ7n0uZbipnrLa6XXQZX8da6OM+Yad3P7yUg==,20/1/2026 11:10,Fresh to Go Foods,Microsoft 365 Copilot - utilisation and scope,1/2/2026,Qualification,Justin Petrovic,0.00,2000.00,CIS,,0.00,14/7/2025 8:37,
1161292b-1472-4bbb-ba79-798af243de00,dhJ5k8MikB9NxBnFc6saEkxg4DyfTrUkGFl0nQtCCl4flY7vJrFVPbSekeA3nSjfS4LrGebJgSwHjQmWpa5mKg==,19/1/2026 23:56,Global Traffic Network GTN,PartnerPlus,6/2/2026,Contracting,Justin Petrovic,0.00,49680.00,NetSuite,,0.00,16/1/2026 11:37,No
2bc42658-7006-49f0-9e51-7f7edc4b73e8,5b6l9kw1Jbm9YiA6Ft6Hq9KT1bDhwQQj0k+PuaT8ktQbkJUpyqS5VJt30POwqnsTXl+DyF2TtYB6g/ZAIpVsEg==,23/1/2026 3:12,Koko Black Aust,KKB: WO51253 KKB - WMS Enh. 2 NetSuite FEFO-MLOR picking cust.on - WO,6/2/2026,Solutioning,Karen Linehan,0.00,14110.00,NetSuite,,0.00,15/12/2025 9:39,No
c011a69b-748b-4985-9d90-b85f8aee4ba9,tPd3iSMoFEhYn/1l2ruZbrcsKFpHBPXg99ovYOkVX4uX7pNNqo+VwIqSLf4GAMhTFJmVKXQAS1fLLb631VO++A==,17/12/2025 22:20,UBT Marketing,PartnerPlus - Azure & NetSuite,6/2/2026,Contracting,Justin Petrovic,0.00,93600.00,NetSuite,,0.00,20/10/2025 8:35,
07a8fbd4-1cab-4b9c-9712-cc9347e77744,rTXCGqDy4bf0k7cC46C8+FaBRsvF9VtjzXpMPBFq4bwmbjRzHec5C3Piwe++4ZOVB9OHiEt9SfJ2zMQ01iHS4g==,21/1/2026 5:29,Hachette (F5AU),IBM Mirantis License,6/2/2026,Qualification,Neville Ray,371.60,0.00,CPM,,3716.00,21/1/2026 12:31,No
c775bae7-11d4-405b-9eb7-1ae472a82d8b,8f/1+5b32f8e1AwzqvwuJBCrMphM4iONS0yZmfO0XoqfB2MfCdH2YITOR4wnEY07+xgbmqU0ZYElMSme6SS4JA==,13/1/2026 23:52,iQuip,iQuip: WMS Enchancements (Workshops),13/2/2026,Solutioning,Karen Linehan,0.00,10000.00,NetSuite,,0.00,13/11/2025 15:59,
