(Do Not Modify) Opportunity,(Do Not Modify) Row Checksum,(Do Not Modify) Modified On,Account,Topic,Estimated signature date,Current BPF Status,Owner,Annual Margin,Total Service Amount,Primary Pillar,Are we shortlisted?,License SaaS ARR,Current BPF Advance Date,Pillar Must Win
e2ad1c81-0422-ef11-840a-002248985243,tN7yo9JRFtKQ2rq3yW8AB5o/aIuvfnW46rjzvoY+9JFRcCQczneAyXEsg/twZSPtyvyU0FMkL86UKNj7ytbOtA==,19/01/2026 2:41,Infravision (F5AU),Infravision   NetSuite ,31/01/2026,Solutioning,Anthony Najafian,25500,170000,NetSuite,Yes,51000,5/11/2025 15:58,
70a99d45-af25-4cb8-8206-51c6ff546f07,H44oYEV+Ix6QBTkaHooFCofMx3SBMMKNj20+rPcx0FJnbtbT3Up/N/Xax8OoYsW2I6gkWWxJ8oxq1ubQojHDpA==,26/01/2026 8:42,International Racehorse Transport,IRT. x10 NS. Project. Licenses.,27/02/2026,Qualification,Tony Goh,35000,200000,NetSuite,,70000,12/12/2025 7:36,No
0acf85af-93d1-f011-bbd3-7ced8da2b14d,DgvgEpcZqsRtVlaJHn9E7k2eFv9AJvaJBOz3zo85DBLFxv4AcOSe5GVrU37IbSG/cwIlK9Zscd5+9PbUGF6dYQ==,26/01/2026 8:44,Fernland,New NetSuite,27/02/2026,Solutioning,Tony Goh,20000,100000,NetSuite,,40000,26/01/2026 18:44,No
1d5906aa-a69b-45e6-acdf-bf94554decd1,js5OIxsrA0+ZmvsgzKoA6r154k+IvMmKj1Kh9VuNSA+XEZWyPzN7bglGfUtmcZYcQkVHLb5Od2V9u5AT9lltjQ==,15/12/2025 21:19,Dore Electrics,New NetSuite Dore Electrics,27/02/2026,Solutioning,Anthony Najafian,40000,250000,NetSuite,,80000,5/11/2025 15:53,
3277a63e-ac16-4d2c-8e46-0b9a56b604fa,AihvgCWHEYW/x2R1JI32pU/7UdNUKasq6TEsYubLaX7Nam2cTEAEJu3zmwf7zM+/PlDj6NbFsXry/R6iBYY8sg==,20/01/2026 6:19,Steel Build International Pty Ltd (F5AU),Steel Build: Licenses and Implementation,31/03/2026,Contracting,Tony Goh,97440,561000,NetSuite,Yes,232000,22/10/2025 18:56,
c947daa5-8d7c-4755-9621-31c222870c3e,NbhKhUDeDj3i3UOmKUhyjR8AUV6NYIwxQ8MfR64oSzrWFPwG/L5JoBEVvlfc2C2jv646YLIT/tN0u/l0cM/27A==,20/01/2026 12:07,The University of the South Pacific (F5AU),New Finance System for Regional Campuses,31/03/2026,Shortlist,Anthony Najafian,55200,450000,NetSuite,Yes,100200,30/03/2025 20:56,
e5156af6-2b96-4d96-88a1-4a27059c858a,jESlE1T7hIC8BvOTTE8aHyMUDVuB0XF1hHVGy5fOqqhsS+e+tR/WdY+10n/9ufl6NG8WXMeBu3UU2mDmrKKn5A==,18/01/2026 22:12,Global Traffic Network GTN,GTN Phase 1.1 and Phase 2 (CRM users),31/03/2026,Qualification,Anthony Najafian,15000,0,NetSuite,,30000,6/08/2025 11:08,
a7fde068-83f5-f011-8406-6045bde5d9a3,twtBmeM7VNzFR65v1shecqRu5sfwqa/J+duWFiUZ7wqgx9f17+hvoxU6yGJCc0uruE/As0NRlBMtTAhkI0OQZg==,26/01/2026 10:10,KLEAN KING PTY LTD,KLEAN KING PTY LTD   NetSuite ,31/03/2026,Qualification,Anthony Najafian,22500,150000,NetSuite,,45000,20/01/2026 8:08,No
9b1dfe88-54c0-f011-bbd3-7ced8d322e6e,RPTkPtSWr3SL5oJRKjJZIf36JVmEMJ8hntnKFa0z6mOlPtt2hWaNW3FUTChjdMsA87rY9FwDFgjhRvt4/DbENg==,31/12/2025 3:47,O'Neills Tyres & Autocare,O'Neills Tyre & Autocare   NetSuite ,31/03/2026,Qualification,Tony Goh,42500,200000,NetSuite,,75000,13/11/2025 15:49,
4e025137-8463-f011-bec1-000d3a6b16d8,U45ijhnB5g6IC9GAgHRk43Z70PoAbxtTSTJ1gPzSavOSuA2FaZWPnrD1hO1QyhZdSBSzxLk9GIvWQYpfv6WVIw==,9/12/2025 23:58,tint.melbourne,tint.melbourne   NetSuite ,29/05/2026,Solutioning, Tony Goh,30000,150000,NetSuite,,60000,24/07/2025 10:59,
fdc916fd-c145-4c19-8511-43fb4ace8f4b,NCgn/iQ51xotFtYntZgmqdLy4ART24ePZzjPxN5ZlyAmDKlvT2gFYbNvzAKXNiWulLlIlZ1LPBPhbmqJPRGOIA==,15/12/2025 21:18,Northline,New NetSuite Northline,29/05/2026,Solutioning,Anthony Najafian,90000,200000,NetSuite,,180000,28/10/2024 6:29,
ec9cdf66-94d1-f011-bbd3-7ced8da2b14d,wX6YzXtFaeeZLzxOs9tqLhO7/huxOwprPntVOw1xU25U9mY17XkLG2jc7DMiGGJnf+AwSBHs7uqw5118YPkefA==,5/12/2025 6:00,Ashley Cooper Construction,Ashley Cooper Construction   NetSuite,29/05/2026,Qualification,Tony Goh,20000,60000,NetSuite,,40000,5/12/2025 14:39,No
c90657f4-34ea-438e-bac6-296cfc6cba42,hsp3MEtcEsv3nXFG5ZYxZJliVR5fTobwlYg9n1GrKVbFo4TMZYZPTa7hmLRFCkjlCQqZrz6lNpQoP5kKK9nuqg==,18/01/2026 21:54,Oz Harvest,NetSuite RFP Opportunity,31/05/2026,Qualification,Anthony Najafian,20000,150000,NetSuite,,40000,21/09/2025 15:01,
b2df17ee-9792-f011-b4cc-000d3ad2aa59,WTU3n6gxZvECvLhN3Id6E5jQ3hdSHUGzvcLThCNdrtEwgPQUpWC65y1r0Rqfh+eAIKpxYp7p6obj2cMRk9PQwg==,22/12/2025 2:19,CMNL,NetSuite ERP,30/06/2026,Qualification,Anthony Najafian,50000,250000,NetSuite,,100000,16/09/2025 10:56,
fbc51023-3c7e-f011-b4cc-002248940329,qzKsXDeq/+/Ztqm656Y3BDVWvxqjAOKi5hgQpRvZESosCyjVSpzzIRk5z5SDCaeVkC2RA9DfsVTS7yBmDa2psg==,26/01/2026 10:08,Cult Design,Cult Design   NetSuite ,30/06/2026,Solutioning,Anthony Najafian,50000,250000,NetSuite,,100000,21/08/2025 13:14,
743975f1-feea-4c04-a98b-10db14e53a18,FfTMSMaXpw3KB+zlpv5UAfr2WxX1656g9uTQcwZwfq9KY4EiOCK4Ci7+zR04lxtKf0wkRQJhHuu79R1VT/aZhw==,14/12/2025 22:03,Manos Projects,New NetSuite Manos Projects,30/06/2026,Solutioning,Anthony Najafian,30000,100000,NetSuite,,60000,14/11/2025 13:38,
da283ce3-7624-4f48-8cef-19136344a980,swrIGypUmjjk5jRWqq5Z4Bki1Vk/DWxjZ9eIgFu74bMEm1WGTlfj6a0FCzqzCdKAfAk+nn++6ypGGAv+iwEtFQ==,26/01/2026 10:09,McPherson's Consumer Products,NS Opportunity,30/06/2026,Qualification,Anthony Najafian,100000,450000,NetSuite,,200000,3/08/2025 20:36,
51e5fbac-2909-4549-9f9e-429fa0881c7d,t1a4BJ9EnFOuVyxRmIj6evgqt3amhDy0248hUWyrxy7+zkd7gpcMgPLKur5AtWLwJfV2OQndum2T8a+vLHebjQ==,26/01/2026 10:10,Pillow Talk,NS opportunity,30/06/2026,Qualification,Anthony Najafian,20000,100000,NetSuite,,40000,23/05/2025 20:34,
3352477a-7c5d-4a8d-aabb-745363f35c7c,wmdrkQr6r0LLAPXQfyzHEljmYk6ubO3bTzeqUjyA2e69a12Cdpg+iXlxz45ZYtgmigImZ7IVeF5Sp6FT3nJ0KA==,26/01/2026 10:09,Village Roadshow Group (F5AU),Netsuite,30/06/2026,Qualification,Anthony Najafian,70000,0,MSP,,10000,17/11/2025 10:56,
